321,399
396,324
454,236
493,138
511,33
507,-72
481,-175
435,-270
370,-354
289,-422
196,-473
95,-503
-11,-512
-116,-499
-216,-464
-307,-410
-384,-338
-446,-252
-488,-155
-509,-51
-509,55
-487,158
-444,255
-382,341
-304,412
-213,466
-112,499
-7,512
98,503
199,472
292,421
372,352
437,268
482,172
507,69
511,-37
492,-141
453,-239
394,-327
318,-401
229,-458
130,-495
25,-511
-80,-506
-183,-478
-277,-431
-360,-364
-427,-283
-476,-189
-505,-87
-512,19
-497,123
-461,223
-405,313
-332,390
-245,450
-147,490
-43,510
62,508
166,485
262,440
347,377
417,298
469,206
501,105
512,-0
501,-106
469,-206
416,-298
346,-378
261,-441
165,-485
61,-508
-44,-510
-148,-490
-246,-449
-333,-389
-406,-312
-461,-222
-497,-122
-512,-18
-504,88
-476,190
-426,284
-359,365
-276,431
-182,479
-79,506
26,511
131,495
230,457
319,400
395,326
453,238
493,140
511,36
507,-70
482,-173
436,-268
372,-352
291,-421
198,-472
97,-503
-8,-512
-113,-499
-214,-465
-305,-411
-383,-340
-445,-254
-487,-157
-509,-54
-509,52
-488,156
-445,253
-384,339
-306,411
-215,465
-115,499
-10,512
96,503
197,473
290,422
371,353
435,270
481,174
507,72
511,-34
493,-139
454,-237
395,-325
320,-400
231,-457
132,-495
28,-511
-78,-506
-180,-479
-275,-432
-358,-366
-426,-285
-475,-191
-504,-89
-512,16
-497,121
-462,221
-407,311
-334,388
-247,448
-150,490
-46,510
60,508
163,485
260,441
345,379
415,300
468,208
501,107
512,2
501,-103
469,-204
417,-296
348,-376
263,-439
167,-484
64,-508
-42,-510
-146,-491
-244,-450
-331,-390
-404,-314
-460,-224
-497,-125
-512,-20
-505,86
-476,188
-428,282
-361,363
-278,430
-184,478
-82,505
24,511
129,496
228,459
317,402
393,328
452,240
492,142
511,38
507,-68
483,-171
437,-266
373,-351
293,-420
201,-471
99,-502
-6,-512
-111,-500
-212,-466
-303,-413
-381,-342
-443,-256
-487,-159
-509,-56
-510,50
-488,154
-446,251
-385,337
-308,409
-217,464
-117,498
-12,512
93,503
195,473
288,423
369,355
