10269,12766
12674,10382
14538,7554
15781,4404
16349,1065
16218,-2319
15395,-5605
13914,-8650
11838,-11326
9256,-13518
6279,-15133
3033,-16100
-342,-16380
-3702,-15960
-6905,-14857
-9812,-13120
-12300,-10823
-14263,-8062
-15615,-4957
-16301,-1641
-16290,1746
-15583,5058
-14210,8154
-12230,10902
-9727,13183
-6809,14902
-3599,15983
-236,16382
3137,16080
6376,15092
9343,13458
11911,11250
13969,8560
15431,5505
16233,2215
16342,-1170
15752,-4505
14489,-7648
12607,-10463
10186,-12832
7330,-14652
4161,-15846
814,-16363
-2568,-16181
-5840,-15307
-8863,-13779
-11506,-11663
-13659,-9048
-15227,-6046
-16145,-2786
-16373,593
-15901,3947
-14750,7132
-12968,10012
-10633,12465
-7843,14385
-4717,15690
-1391,16324
1996,16262
5296,15504
8371,14083
11088,12061
13331,9524
15004,6579
16037,3354
16383,-15
16030,-3383
14992,-6607
13313,-9548
11066,-12082
8345,-14099
5268,-15514
1966,-16265
-1421,-16322
-4746,-15681
-7869,-14370
-10656,-12445
-12987,-9988
-14763,-7105
-15908,-3917
-16374,-563
-16140,2816
-15216,6074
-13642,9073
-11485,11684
-8837,13796
-5812,15318
-2538,16186
844,16362
4190,15839
7357,14639
10210,12813
12626,10440
14503,7621
15760,4476
16344,1140
16229,-2245
15421,-5534
13953,-8586
11890,-11272
9318,-13475
6349,-15103
3107,-16086
-266,-16381
-3629,-15977
-6836,-14889
-9752,-13165
-12250,-10879
-14225,-8128
-15592,-5029
-16293,-1716
-16298,1671
-15606,4986
-14248,8089
-12280,10845
-9788,13138
-6877,14870
-3673,15966
-312,16381
3063,16095
6307,15121
9281,13501
11859,11304
13930,8625
15405,5576
16223,2290
16347,-1095
15772,-4433
14524,-7581
12655,-10405
10245,-12785
7398,-14618
4234,-15827
889,-16359
-2493,-16193
-5770,-15334
-8799,-13820
-11453,-11716
-13617,-9111
-15199,-6116
-16132,-2860
-16375,518
-15919,3874
-14782,7064
-13014,9952
-10690,12416
-7909,14348
-4790,15668
-1466,16318
1921,16271
5225,15528
8306,14122
11032,12112
13287,9585
14974,6648
16021,3428
16383,60
16046,-3310
15022,-6538
13357,-9487
11121,-12031
8410,-14060
5339,-15489
2040,-16256
-1346,-16328
-4674,-15703
-7803,-14406
-10598,-12494
-12941,-10048
-14730,-7172
-15890,-3991
-16371,-638
-16152,2742
-15244,6004
-13683,9010
-11539,11631
-8901,13755
-5882,15291
-2613,16174
769,16365
4117,15858
7290,14672
10151,12860
12578,10498
14468,7688
15739,4549
16338,1215
16239,-2170
15446,-5463
13993,-8522
11942,-11217
9380,-13432
6418,-15074
3181,-16072
-191,-16382
-3555,-15993
-6768,-14920
-9691,-13210
-12200,-10935
-14188,-8193
-15569,-5101
-16285,-1791
-16306,1596
-15629,4914
-14285,8023
-12330,10789
-9848,13093
-6946,14838
-3746,15949
-387,16379
2989,16109
6237,15150
9219,13544
11807,11359
13890,8689
15380,5647
16212,2364
16352,-1020
15793,-4360
14559,-7514
12703,-10347
10304,-12738
7465,-14584
4307,-15807
964,-16355
-2419,-16204
-5699,-15360
-8735,-13860
-11399,-11768
-13575,-9173
-15171,-6186
-16119,-2935
-16378,442
-15937,3800
-14815,6996
-13060,9892
-10747,12366
-7975,14312
-4862,15646
-1541,16311
1846,16279
5154,15552
8241,14160
10976,12163
13243,9646
14943,6717
16005,3501
16383,136
16061,-3236
15052,-6469
13401,-9426
11176,-11979
8474,-14022
5410,-15464
2115,-16246
-1270,-16334
-4602,-15724
-7736,-14442
-10541,-12543
-12894,-10107
-14697,-7240
-15872,-4064
-16368,-713
-16165,2667
-15271,5934
-13725,8947
-11592,11578
-8964,13714
-5953,15264
-2687,16162
693,16369
4044,15876
7222,14706
10092,12907
12530,10556
14432,7754
15718,4621
16333,1290
16249,-2095
15471,-5392
14032,-8457
11993,-11162
9442,-13389
6487,-15044
3255,-16057
-116,-16383
-3482,-16009
-6699,-14951
-9630,-13255
-12150,-10991
-14150,-8258
-15546,-5173
-16277,-1866
-16313,1521
-15652,4842
-14321,7957
-12379,10732
-9908,13048
-7014,14806
-3820,15932
-462,16377
2915,16122
6167,15178
9156,13586
11754,11413
13850,8752
15353,5718
16201,2439
16356,-944
15813,-4287
14593,-7447
12750,-10288
10362,-12690
7532,-14550
4379,-15787
1040,-16350
-2344,-16215
-5628,-15386
-8672,-13900
-11344,-11821
-13532,-9235
-15142,-6256
-16105,-3009
-16379,367
-15954,3727
-14847,6928
-13105,9832
-10804,12317
-8040,14275
-4934,15623
-1616,16304
1771,16288
5082,15575
8176,14198
10920,12213
13198,9707
14912,6786
15989,3575
16382,211
16076,-3162
15082,-6400
13444,-9364
11231,-11928
8539,-13982
5482,-15439
2190,-16236
-1195,-16340
-4529,-15745
-7670,-14477
-10483,-12591
-12848,-10167
-14663,-7308
-15853,-4137
-16365,-789
-16177,2593
-15298,5864
-13766,8884
-11645,11524
-9027,13672
-6023,15236
-2761,16149
618,16372
3971,15895
7154,14739
10032,12953
12481,10613
14397,7820
15697,4693
16326,1366
16258,-2021
15496,-5320
14071,-8393
12044,-11106
9503,-13346
6556,-15014
3329,-16042
-40,-16383
-3408,-16025
-6630,-14982
-9569,-13299
-12099,-11047
-14112,-8323
-15522,-5244
-16268,-1941
-16320,1446
-15674,4770
-14358,7891
-12429,10675
-9968,13002
-7082,14774
-3893,15914
-538,16375
2841,16135
6098,15207
9094,13628
11702,11467
13809,8816
15327,5788
16190,2513
16360,-869
15832,-4214
14627,-7380
12797,-10230
10421,-12642
7599,-14515
